,XVal,YVal,ZVal,time
4945,-6.47,-7.75,-1.96,9.443751335144043
4946,-6.28,-7.75,-2.16,9.444722652435303
4947,-6.28,-7.75,-1.96,9.44671630859375
4948,-6.47,-7.75,-2.16,9.44671630859375
4949,-6.47,-7.75,-1.96,9.450705289840698
4950,-6.47,-7.75,-1.96,9.45170259475708
4951,-6.28,-7.75,-2.16,9.45270037651062
4952,-6.28,-7.75,-2.16,9.454726934432983
4953,-6.47,-7.75,-2.16,9.45569396018982
4954,-6.47,-7.75,-1.96,9.45768690109253
4955,-6.47,-7.75,-1.96,9.459784269332886
4956,-6.47,-7.75,-2.16,9.460784196853638
4957,-6.47,-7.75,-1.96,9.462832689285278
4958,-6.47,-7.75,-2.16,9.46380615234375
4959,-6.28,-7.75,-2.16,9.465800523757935
4960,-6.28,-7.75,-2.16,9.465800523757935
4961,-6.28,-7.75,-2.16,9.468791723251343
4962,-6.47,-7.75,-1.96,9.470813751220703
4963,-6.47,-7.75,-1.96,9.471783638000488
4964,-6.47,-7.75,-1.96,9.473802089691162
4965,-6.47,-7.75,-2.16,9.474776268005371
4966,-6.47,-7.75,-2.16,9.476794004440308
4967,-6.28,-7.75,-2.16,9.479762554168701
4968,-6.47,-7.75,-2.16,9.479762554168701
4969,-6.28,-7.75,-2.16,9.481757402420044
4970,-6.47,-7.85,-2.16,9.482754230499268
4971,-6.47,-7.75,-2.16,9.484748840332031
4972,-6.28,-7.75,-1.96,9.487741231918335
4973,-6.47,-7.75,-1.96,9.487741231918335
4974,-6.47,-7.75,-1.96,9.48973560333252
4975,-6.47,-7.75,-1.96,9.49073338508606
4976,-6.47,-7.75,-2.16,9.493072748184204
4977,-6.28,-7.75,-2.16,9.496070623397827
4978,-6.28,-7.75,-2.16,9.497068166732788
4979,-6.28,-7.75,-2.16,9.49806547164917
4980,-6.47,-7.75,-2.16,9.499062538146973
4981,-6.47,-7.75,-2.16,9.501083374023438
4982,-6.47,-7.75,-1.96,9.504048824310303
4983,-6.47,-7.75,-2.26,9.504048824310303
4984,-6.47,-7.75,-2.16,9.506448745727539
4985,-6.28,-7.75,-1.96,9.506448745727539
4986,-6.18,-7.75,-2.16,9.509440422058105
4987,-6.28,-7.75,-2.16,9.512398958206177
4988,-6.47,-7.55,-1.96,9.51339864730835
4989,-6.47,-7.75,-1.96,9.514415979385376
4990,-6.47,-7.75,-1.96,9.515390872955322
4991,-6.28,-7.75,-2.16,9.517417669296265
4992,-6.47,-7.75,-2.16,9.517417669296265
4993,-6.28,-7.75,-2.16,9.520378351211548
4994,-6.28,-7.75,-1.96,9.5226411819458
4995,-6.28,-7.75,-2.16,9.523612976074219
4996,-6.47,-7.75,-2.16,9.525570154190063
4997,-6.28,-7.75,-1.96,9.525570154190063
4998,-6.47,-7.75,-1.96,9.528564929962158
4999,-6.28,-7.75,-2.16,9.531556367874146
5000,-6.28,-7.75,-1.96,9.531556367874146
5001,-6.28,-7.75,-2.16,9.533550500869751
5002,-6.28,-7.75,-1.96,9.534548282623291
5003,-6.47,-7.75,-1.96,9.537003993988037
5004,-6.47,-7.75,-1.96,9.539024591445923
5005,-6.47,-7.75,-1.96,9.539024591445923
5006,-6.47,-7.75,-2.16,9.542988300323486
5007,-6.28,-7.75,-2.16,9.542988300323486
5008,-6.47,-7.75,-2.16,9.544983625411987
5009,-6.28,-7.75,-2.16,9.546978235244751
5010,-6.28,-7.75,-1.96,9.547975540161133
5011,-6.28,-7.75,-2.16,9.549970149993896
5012,-6.28,-7.75,-1.96,9.549970149993896
5013,-6.47,-7.75,-1.96,9.552961349487305
5014,-6.47,-7.75,-1.96,9.555084705352783
5015,-6.28,-7.75,-2.26,9.556084632873535
5016,-6.47,-7.75,-2.16,9.558079481124878
5017,-6.47,-7.55,-2.16,9.559075832366943
5018,-6.47,-7.75,-2.16,9.561095476150513
5019,-6.28,-7.85,-2.16,9.563064813613892
5020,-6.47,-7.75,-2.16,9.564062118530273
5021,-6.47,-7.75,-2.16,9.566081285476685
5022,-6.47,-7.75,-2.16,9.567054986953735
5023,-6.28,-7.75,-2.16,9.569049835205078
5024,-6.47,-7.75,-2.16,9.569049835205078
5025,-6.28,-7.75,-2.16,9.572041511535645
5026,-6.28,-7.75,-2.16,9.574036359786987
5027,-6.47,-7.75,-1.96,9.575033187866211
5028,-6.47,-7.75,-1.96,9.577027559280396
5029,-6.47,-7.75,-1.96,9.578024864196777
5030,-6.47,-7.75,-2.16,9.580383777618408
5031,-6.28,-7.75,-2.16,9.582378387451172
5032,-6.47,-7.75,-2.16,9.582378387451172
5033,-6.28,-7.75,-2.16,9.585187435150146
5034,-6.28,-7.75,-2.16,9.586188554763794
5035,-6.28,-7.75,-2.16,9.588181495666504
5036,-6.47,-7.75,-1.96,9.590954303741455
5037,-6.28,-7.55,-1.96,9.590954303741455
5038,-6.47,-7.75,-1.96,9.593946933746338
5039,-6.28,-7.75,-1.96,9.594380855560303
5040,-6.28,-7.75,-1.96,9.596377611160278
5041,-6.47,-7.75,-2.16,9.598988771438599
5042,-6.47,-7.75,-1.96,9.598988771438599
5043,-6.47,-7.75,-1.96,9.601982831954956
5044,-6.47,-7.75,-2.16,9.601982831954956
5045,-6.47,-7.75,-2.16,9.60497498512268
5046,-6.47,-7.75,-2.16,9.607001543045044
5047,-6.28,-7.75,-1.96,9.607001543045044
5048,-6.47,-7.75,-2.16,9.609994173049927
5049,-6.28,-7.55,-2.16,9.609994173049927
5050,-6.28,-7.75,-1.96,9.612953662872314
5051,-6.47,-7.75,-2.16,9.614981412887573
5052,-6.47,-7.75,-1.96,9.614981412887573
5053,-6.47,-7.55,-1.96,9.617972135543823
5054,-6.47,-7.75,-2.16,9.617972135543823
5055,-6.47,-7.75,-2.16,9.620933294296265
5056,-6.28,-7.75,-2.16,9.620933294296265
5057,-6.28,-7.75,-2.16,9.623956680297852
5058,-6.28,-7.75,-2.16,9.625920534133911
5059,-6.47,-7.75,-1.96,9.626916646957397
5060,-6.47,-7.75,-2.16,9.62891149520874
5061,-6.47,-7.55,-1.96,9.62891149520874
5062,-6.47,-7.75,-1.96,9.631814956665039
5063,-6.28,-7.85,-2.16,9.633840560913086
5064,-6.47,-7.75,-2.16,9.635803461074829
5065,-6.47,-7.75,-2.16,9.636833429336548
5066,-6.28,-7.75,-2.16,9.637797594070435
5067,-6.28,-7.75,-2.16,9.639824390411377
5068,-6.47,-7.85,-2.16,9.642441272735596
5069,-6.47,-7.75,-2.16,9.642441272735596
5070,-6.47,-7.75,-2.16,9.645103693008423
5071,-6.28,-7.75,-2.16,9.645103693008423
5072,-6.28,-7.75,-2.16,9.648096799850464
5073,-6.28,-7.75,-2.16,9.651089191436768
5074,-6.28,-7.75,-1.96,9.651089191436768
5075,-6.28,-7.75,-2.16,9.653083801269531
5076,-6.47,-7.75,-1.96,9.65408205986023
5077,-6.47,-7.55,-1.96,9.656588315963745
5078,-6.47,-7.75,-2.16,9.658582925796509
5079,-6.28,-7.75,-2.16,9.658582925796509
5080,-6.28,-7.75,-2.16,9.661722183227539
5081,-6.28,-7.55,-2.16,9.661722183227539
5082,-6.28,-7.75,-1.96,9.664175510406494
5083,-6.47,-7.75,-1.96,9.667166709899902
5084,-6.47,-7.75,-1.96,9.667166709899902
5085,-6.47,-7.75,-1.96,9.669161796569824
5086,-6.28,-7.55,-1.96,9.670159339904785
5087,-6.28,-7.75,-2.16,9.672389507293701
5088,-6.28,-7.75,-2.16,9.672389507293701
5089,-6.28,-7.75,-1.96,9.675119161605835
5090,-6.28,-7.75,-2.16,9.67811107635498
5091,-6.28,-7.75,-2.16,9.67811107635498
5092,-6.47,-7.75,-2.16,9.681104183197021
5093,-6.47,-7.75,-1.96,9.682101726531982
5094,-6.47,-7.75,-1.96,9.683098793029785
5095,-6.47,-7.75,-2.16,9.686090230941772
5096,-6.28,-7.75,-1.96,9.687088251113892
5097,-6.47,-7.75,-2.16,9.689082622528076
5098,-6.28,-7.85,-2.16,9.689082622528076
5099,-6.47,-7.85,-1.96,9.691077947616577
5100,-6.47,-7.75,-2.16,9.694068908691406
5101,-6.47,-7.75,-1.96,9.694068908691406
5102,-6.47,-7.75,-2.16,9.69706130027771
5103,-6.28,-7.75,-2.16,9.69706130027771
5104,-6.28,-7.75,-2.16,9.700053930282593
5105,-6.28,-7.75,-2.16,9.702048778533936
5106,-6.47,-7.75,-1.96,9.703046321868896
5107,-6.28,-7.75,-2.16,9.705039501190186
5108,-6.47,-7.75,-1.96,9.705039501190186
5109,-6.47,-7.75,-2.16,9.708031415939331
5110,-6.47,-7.75,-2.16,9.710026025772095
5111,-6.47,-7.75,-1.86,9.712022542953491
5112,-6.28,-7.75,-2.16,9.713019371032715
5113,-6.47,-7.75,-2.16,9.714016675949097
5114,-6.47,-7.75,-2.16,9.716010093688965
5115,-6.47,-7.75,-1.96,9.718004703521729
5116,-6.47,-7.75,-2.16,9.71900200843811
5117,-6.47,-7.75,-2.16,9.720996856689453
5118,-6.47,-7.75,-2.16,9.721994161605835
5119,-6.28,-7.75,-2.16,9.723988771438599
5120,-6.28,-7.75,-2.16,9.723988771438599
5121,-6.47,-7.75,-2.16,9.726981401443481
5122,-6.47,-7.75,-1.96,9.728975534439087
5123,-6.47,-7.75,-1.96,9.729973793029785
5124,-6.28,-7.75,-2.16,9.73196816444397
5125,-6.47,-7.75,-2.16,9.732964992523193
5126,-6.47,-7.55,-2.16,9.734960079193115
5127,-6.28,-7.75,-1.96,9.737951755523682
5128,-6.28,-7.75,-1.96,9.737951755523682
5129,-6.28,-7.75,-2.16,9.741941690444946
5130,-6.28,-7.75,-1.96,9.742939233779907
5131,-6.47,-7.75,-1.96,9.743935585021973
5132,-6.47,-7.75,-2.16,9.745930910110474
5133,-6.47,-7.75,-1.96,9.745930910110474
5134,-6.47,-7.75,-2.16,9.748923063278198
5135,-6.28,-7.75,-2.16,9.748923063278198
5136,-6.47,-7.75,-2.16,9.750917434692383
5137,-6.28,-7.75,-2.16,9.753908634185791
5138,-6.28,-7.75,-1.96,9.753908634185791
5139,-6.47,-7.75,-2.16,9.756900548934937
5140,-6.28,-7.75,-2.16,9.757899045944214
5141,-6.28,-7.75,-2.16,9.758895635604858
5142,-6.47,-7.75,-2.16,9.761887550354004
5143,-6.47,-7.85,-1.96,9.762884855270386
5144,-6.47,-7.75,-1.96,9.764879941940308
5145,-6.47,-7.75,-2.16,9.764879941940308
5146,-6.47,-7.75,-2.16,9.767871379852295
5147,-6.47,-7.75,-2.16,9.769866466522217
5148,-6.47,-7.75,-2.16,9.770864486694336
5149,-6.47,-7.75,-2.16,9.772858142852783
5150,-6.47,-7.75,-2.16,9.772858142852783
5151,-6.28,-7.75,-2.16,9.775850057601929
5152,-6.28,-7.75,-2.16,9.775850057601929
5153,-6.28,-7.75,-2.16,9.778842210769653
5154,-6.47,-7.75,-2.16,9.780837059020996
5155,-6.28,-7.75,-1.96,9.781834125518799
5156,-6.47,-7.75,-1.96,9.78382921218872
5157,-6.47,-7.75,-2.16,9.78382921218872
5158,-6.47,-7.75,-1.96,9.786820650100708
5159,-6.28,-7.75,-2.16,9.78881573677063
5160,-6.28,-7.75,-2.16,9.78981328010559
5161,-6.28,-7.75,-2.16,9.791807413101196
5162,-6.47,-7.75,-1.96,9.792804718017578
5163,-6.47,-7.75,-1.96,9.794799327850342
5164,-6.47,-7.75,-1.96,9.797792196273804
5165,-6.47,-7.75,-2.16,9.797792196273804
5166,-6.47,-7.55,-2.16,9.79978609085083
