,XVal,YVal,ZVal
435,-6.96,-7.45,-1.47
436,-6.96,-7.45,-1.47
437,-6.96,-7.45,-1.47
438,-6.96,-7.26,-1.47
439,-6.96,-7.45,-1.57
440,-6.96,-7.45,-1.47
441,-6.96,-7.26,-1.57
442,-6.86,-7.45,-1.47
443,-6.96,-7.45,-1.47
444,-6.96,-7.45,-1.47
445,-6.86,-7.45,-1.47
446,-6.96,-7.45,-1.47
447,-6.96,-7.26,-1.47
448,-6.96,-7.45,-1.47
449,-6.96,-7.45,-1.47
450,-6.96,-7.45,-1.57
451,-6.96,-7.45,-1.57
452,-6.96,-7.45,-1.47
453,-6.96,-7.45,-1.47
454,-6.96,-7.45,-1.47
455,-6.96,-7.45,-1.47
456,-6.96,-7.26,-1.47
457,-6.96,-7.45,-1.47
458,-6.96,-7.45,-1.57
459,-6.96,-7.45,-1.47
460,-6.96,-7.45,-1.47
461,-6.96,-7.45,-1.47
462,-6.96,-7.45,-1.47
463,-6.96,-7.45,-1.47
464,-6.96,-7.45,-1.47
465,-6.86,-7.45,-1.47
466,-6.86,-7.45,-1.47
467,-6.86,-7.45,-1.47
468,-6.96,-7.45,-1.57
469,-6.96,-7.45,-1.57
470,-6.96,-7.45,-1.47
471,-6.96,-7.45,-1.47
472,-6.86,-7.45,-1.47
473,-6.96,-7.26,-1.57
474,-6.86,-7.45,-1.47
475,-6.96,-7.45,-1.47
476,-6.86,-7.45,-1.47
477,-6.96,-7.45,-1.57
478,-6.96,-7.45,-1.47
479,-6.96,-7.45,-1.47
480,-6.96,-7.26,-1.47
481,-6.96,-7.45,-1.47
482,-6.96,-7.26,-1.47
483,-6.96,-7.45,-1.47
484,-6.96,-7.45,-1.47
485,-6.96,-7.45,-1.47
486,-6.96,-7.45,-1.47
487,-6.96,-7.45,-1.47
488,-6.96,-7.45,-1.47
489,-6.86,-7.45,-1.47
490,-6.96,-7.45,-1.47
491,-6.96,-7.45,-1.47
492,-6.96,-7.45,-1.47
493,-6.96,-7.45,-1.57
494,-6.86,-7.45,-1.47
495,-6.96,-7.45,-1.47
496,-6.96,-7.26,-1.47
497,-6.86,-7.45,-1.47
498,-6.96,-7.45,-1.57
499,-6.86,-7.45,-1.57
500,-6.86,-7.45,-1.57
501,-6.86,-7.45,-1.57
502,-6.96,-7.45,-1.57
503,-6.96,-7.45,-1.57
504,-6.86,-7.45,-1.57
505,-6.86,-7.55,-1.47
506,-6.86,-7.45,-1.47
507,-6.86,-7.45,-1.47
508,-6.86,-7.45,-1.47
509,-6.96,-7.45,-1.47
510,-6.96,-7.45,-1.47
511,-6.96,-7.45,-1.47
512,-6.96,-7.45,-1.47
513,-6.96,-7.45,-1.57
514,-6.96,-7.45,-1.57
515,-6.86,-7.45,-1.47
516,-6.96,-7.45,-1.57
517,-6.96,-7.45,-1.57
518,-6.96,-7.45,-1.57
519,-6.96,-7.45,-1.47
520,-6.96,-7.45,-1.47
521,-6.86,-7.45,-1.47
522,-6.96,-7.45,-1.47
523,-6.96,-7.45,-1.47
524,-6.96,-7.45,-1.47
525,-6.96,-7.45,-1.57
